program_id,category,term,term_id,description,fdr,p_value,number_of_genes,number_of_genes_in_background,ncbiTaxonId,inputGenes
28,Process,GO:2000377,NA,Regulation of reactive oxygen species metabolic process,0.0371,0.00054,9,163,10090,Hspd1|Ndufc2|Eef1a1|Eif5a|Romo1|Atp5g1|Park7|Prdx2|Cycs
28,Process,GO:0048025,NA,"Negative regulation of mRNA splicing, via spliceosome",0.039,0.00058,4,25,10090,Npm1|C1qbp|Hnrnpa2b1|Hnrnpk
28,Process,GO:0006406,NA,mRNA export from nucleus,0.0397,0.00059,6,71,10090,Alyref|Sem1|Hnrnpa2b1|Srsf3|Ddx39|Ddx39b
28,Process,GO:0032507,NA,Maintenance of protein location in cell,0.0397,0.00059,6,71,10090,Pfn1|Hspa5|Txn1|Park7|Tmsb4x|Tmsb10
28,Process,GO:0006228,NA,UTP biosynthetic process,0.0412,0.00062,3,10,10090,Nme2|Nme4|Nme1
28,Process,GO:0060547,NA,Negative regulation of necrotic cell death,0.0433,0.00066,4,26,10090,Ybx3|Ndufc2|Slc25a4|Fth1
28,KEGG,mmu00620,NA,Pyruvate metabolism,0.0454,0.0026,4,39,10090,Mdh2|Acat1|Pkm|Ldha
28,Process,GO:0062197,NA,Cellular response to chemical stress,0.0455,0.0007,12,284,10090,Ybx3|Rps3|Apex1|Gpx1|Romo1|Chchd2|Akr1b3|Park7|Prdx2|Prdx1|Ppia|Cfl1
28,KEGG,mmu00230,NA,Purine metabolism,0.0458,0.0028,7,132,10090,Aprt|Nme2|Nme4|Atic|Pkm|Impdh2|Nme1
28,Process,GO:0031640,NA,Killing of cells of another organism,0.0462,0.00073,6,74,10090,Pglyrp1|Romo1|Hmgn2|Rps19|Rpl30|Gapdh
28,Process,GO:0072593,NA,Reactive oxygen species metabolic process,0.0473,0.00075,7,104,10090,Atpif1|Prdx6|Gpx1|Park7|Prdx2|Prdx1|Cycs
29,KEGG,mmu05132,NA,Salmonella infection,1.67e-09,5.02e-12,21,212,10090,Rhoa|Dynll1|Pfn1|Podxl|Anxa2|S100a10|Myl12b|Tlr4|Cdc42|Actg1|Arpc5|Arpc1b|Hsp90aa1|Actb|Arpc3|Arf2|Arpc2|Flna|Dync1i1|Gapdh|Myl12a
29,KEGG,mmu05100,NA,Bacterial invasion of epithelial cells,1.49e-07,8.99e-10,12,71,10090,Cav2|Cav1|Rhoa|Cltb|Cdc42|Actg1|Arpc5|Arpc1b|Itgb1|Actb|Arpc3|Arpc2
29,KEGG,mmu04144,NA,Endocytosis,2.1e-06,1.9e-08,18,250,10090,Cav2|Grk5|Cav1|Rhoa|Hspa8|Snx3|Arf5|Il2rg|Cltb|Cdc42|Arpc5|Arpc1b|Arfgef1|Ehd2|Arpc3|Arf2|Arpc2|Rab11a
29,KEGG,mmu04510,NA,Focal adhesion,2.1e-06,2.34e-08,16,196,10090,Cav2|Lamb1|Cav1|Rhoa|Lama4|Lamc1|Col4a1|Col4a2|Myl12b|Cdc42|Actg1|Itgb1|Ccnd1|Actb|Flna|Myl12a
29,Process,GO:0032970,NA,Regulation of actin filament-based process,3.76e-06,2.85e-09,25,438,10090,Jup|Rhoc|Cav1|Rhoa|Pfn1|Ryr2|S100a10|Cdc42|Abi3|Arhgdia|Actg1|Arpc5|Arpc1b|Arfgef1|Dstn|Arpc3|Tmsb4x|Arpc2|Tmsb10|Capg|Flna|C530008M17Rik|Mef2c|Myadm|Cfl1
29,KEGG,mmu04810,NA,Regulation of actin cytoskeleton,4.04e-06,6.09e-08,16,211,10090,Rhoa|Pfn1|Myl12b|Cdc42|Actg1|Arpc5|Arpc1b|Itgb1|Actb|Arpc3|Myh10|Tmsb4x|Arpc2|Msn|Myl12a|Cfl1
29,Process,GO:0022604,NA,Regulation of cell morphogenesis,4.42e-06,4.19e-09,22,346,10090,Rhoc|Rhoa|Sparc|Bambi|Anxa1|Mfsd2a|Dock5|S100a10|Myl12b|Cdc42|Arhgdia|Marcks|Macf1|Myh10|Lrp8|Arpc2|Flna|Msn|Myl12a|Ptprd|Myadm|Cfl1
29,Process,GO:1902903,NA,Regulation of supramolecular fiber organization,9.89e-06,1.37e-08,23,405,10090,Rhoc|Cav1|Rhoa|Hspa8|Pfn1|S100a10|Cdc42|Actg1|Arpc5|Arpc1b|Arfgef1|Dstn|Arpc3|Tmsb4x|Arpc2|Tmsb10|Capg|Flna|C530008M17Rik|Hspg2|Mef2c|Myadm|Cfl1
29,Process,GO:0007015,NA,Actin filament organization,1.03e-05,1.5e-08,19,276,10090,Rhoc|Tpm4|Rhoa|Trf|Cdc42|Arpc5|Arpc1b|Marcks|Pawr|Dstn|Arpc3|Myh10|Tmsb4x|Arpc2|Tmsb10|Capg|Flna|Tpm3|Cfl1
29,Process,GO:0001525,NA,Angiogenesis,1.2e-05,2.04e-08,21,346,10090,Cav1|Cd34|Loxl2|Ywhaz|Sat1|Col4a1|Col4a2|Mcam|Anxa2|Cdc42|Actg1|Dysf|Gpx1|Mmp14|Itgb1|Ecscr|Flna|Cdh13|Ramp2|Hspg2|Apold1
29,Process,GO:0032956,NA,Regulation of actin cytoskeleton organization,1.68e-05,3.07e-08,22,389,10090,Rhoc|Rhoa|Pfn1|S100a10|Cdc42|Abi3|Arhgdia|Actg1|Arpc5|Arpc1b|Arfgef1|Dstn|Arpc3|Tmsb4x|Arpc2|Tmsb10|Capg|Flna|C530008M17Rik|Mef2c|Myadm|Cfl1
29,Process,GO:0110053,NA,Regulation of actin filament organization,2.04e-05,3.86e-08,19,294,10090,Rhoc|Rhoa|Pfn1|S100a10|Cdc42|Actg1|Arpc5|Arpc1b|Arfgef1|Dstn|Arpc3|Tmsb4x|Arpc2|Tmsb10|Capg|Flna|C530008M17Rik|Myadm|Cfl1
29,Process,GO:0050807,NA,Regulation of synapse organization,2.49e-05,4.87e-08,18,267,10090,Tubb5|Rhoa|Hspa8|Sparc|Ywhaz|Cdh2|Sparcl1|Cdc42|Abi3|Klk8|Marcks|Tuba1a|Myh10|Lrp8|Ptprd|Mef2c|Cfl1|Mdga2
29,Process,GO:0010810,NA,Regulation of cell-substrate adhesion,2.49e-05,4.99e-08,17,237,10090,Jup|Nid1|Rhoa|Dock5|S100a10|Cdc42|Actg1|Mmp14|Itgb1|Macf1|Dusp3|Arpc2|Flna|Cdh13|Apod|Myadm|Cfl1
29,KEGG,mmu04151,NA,PI3K-Akt signaling pathway,3.1e-05,5.61e-07,19,353,10090,Lamb1|Ywhab|Ywhah|Lama4|Ywhaz|Lamc1|Gng11|Gnb2|Il2rg|Col4a1|Col4a2|Pkn3|Tlr4|Gngt2|Phlpp1|Itgb1|Ccnd1|Hsp90aa1|Kitl
29,KEGG,mmu04145,NA,Phagosome,3.1e-05,5.91e-07,13,162,10090,Tubb5|Cyba|Atp6v0c|Tlr4|Tubb2a|Actg1|Tubb2b|Itgb1|Tuba1a|Actb|Dync1i1|Atp6v0e|Sec61g
29,Process,GO:0048514,NA,Blood vessel morphogenesis,5.11e-05,1.29e-07,23,461,10090,Fkbp10|Cav1|Cd34|Loxl2|Ywhaz|Cdh2|Sat1|Col4a1|Col4a2|Mcam|Anxa2|Cdc42|Actg1|Dysf|Gpx1|Mmp14|Itgb1|Ecscr|Flna|Cdh13|Ramp2|Hspg2|Apold1
29,KEGG,mmu04530,NA,Tight junction,7.83e-05,1.89e-06,12,152,10090,Rhoa|Myl12b|Cdc42|Actg1|Itgb1|Ccnd1|Tuba1a|Actb|Myh10|Msn|Myl12a|Myl6
29,Process,GO:0008064,NA,Regulation of actin polymerization or depolymerization,9.6e-05,2.73e-07,14,178,10090,Rhoa|Pfn1|Arpc5|Arpc1b|Arfgef1|Dstn|Arpc3|Tmsb4x|Arpc2|Tmsb10|Capg|C530008M17Rik|Myadm|Cfl1
29,Process,GO:0030833,NA,Regulation of actin filament polymerization,0.00014,4.53e-07,13,158,10090,Rhoa|Pfn1|Arpc5|Arpc1b|Arfgef1|Arpc3|Tmsb4x|Arpc2|Tmsb10|Capg|C530008M17Rik|Myadm|Cfl1
29,Process,GO:0030198,NA,Extracellular matrix organization,0.00015,4.88e-07,17,281,10090,Cav2|Fkbp10|Lamb1|Nid1|Cav1|Loxl2|Lamc1|Col4a1|Col4a2|Anxa2|Adamts8|Mmp14|Itgb1|Ramp2|Serpinh1|Hspg2|Adamts4
29,Process,GO:0032271,NA,Regulation of protein polymerization,0.00016,5.68e-07,15,220,10090,Cav1|Rhoa|Pfn1|Arpc5|Arpc1b|Arfgef1|Hsp90aa1|Arpc3|Tmsb4x|Arpc2|Tmsb10|Capg|C530008M17Rik|Myadm|Cfl1
29,KEGG,mmu04670,NA,Leukocyte transendothelial migration,0.00018,5.37e-06,10,113,10090,Rhoa|Cyba|Myl12b|Cdc42|Gnai2|Actg1|Itgb1|Actb|Msn|Myl12a
29,KEGG,mmu05418,NA,Fluid shear stress and atherosclerosis,0.00018,6.01e-06,11,142,10090,Cav2|Cav1|Rhoa|Cyba|Calm3|Mgst3|Actg1|Hsp90aa1|Thbd|Actb|Mef2c
29,Process,GO:0042060,NA,Wound healing,0.00034,1.42e-06,17,305,10090,Fkbp10|Rhoc|Cav1|Rhoa|Cd34|Papss2|Anxa5|Mcam|Tlr4|Dysf|Gpx1|Macf1|Thbd|Myh10|Flna|Timp1|Ppia
29,Process,GO:0032535,NA,Regulation of cellular component size,0.00037,1.56e-06,20,417,10090,Rhoa|Pfn1|Arpc5|Arpc1b|Arfgef1|Atp5g1|Hsp90aa1|Macf1|Dstn|Sema6d|Arpc3|Tmsb4x|Arpc2|Tmsb10|Capg|Msn|C530008M17Rik|Rab11a|Myadm|Cfl1
29,KEGG,mmu05146,NA,Amoebiasis,0.00045,1.63e-05,9,102,10090,Lamb1|Hspb1|Serpinb9b|Lama4|Lamc1|Col4a1|Col4a2|Tlr4|Prdx1
29,KEGG,mmu05205,NA,Proteoglycans in cancer,0.00055,2.14e-05,12,196,10090,Cav2|Cav1|Rhoa|Tlr4|Cdc42|Actg1|Itgb1|Ccnd1|Actb|Flna|Msn|Hspg2
29,Process,GO:0043254,NA,Regulation of protein-containing complex assembly,0.00073,3.61e-06,20,442,10090,Rhoc|Cav1|Rhoa|Pfn1|Tlr4|Cdc42|Arpc5|Arpc1b|Arfgef1|Hsp90aa1|Arpc3|Tmsb4x|Arpc2|Tmsb10|Capg|Msn|H3f3a|C530008M17Rik|Myadm|Cfl1
29,KEGG,mmu04921,NA,Oxytocin signaling pathway,0.00096,4.06e-05,10,145,10090,Rhoa|Calm3|Ryr2|Gnai2|Actg1|Ccnd1|Actb|Rgs2|Myl6|Mef2c
29,Process,GO:0031346,NA,Positive regulation of cell projection organization,0.001,5.63e-06,20,456,10090,Hspb1|Dynll1|Pfn1|Snx3|Nme2|Cdc42|Tubb2b|Itgb1|Atp5g1|Marcks|Hsp90aa1|Rapgef1|Macf1|Lrp8|Arpc2|Flna|Ranbp1|Rgs2|Ptprd|Cfl1
29,Process,GO:0071711,NA,Basement membrane organization,0.001,5.78e-06,6,29,10090,Cav2|Lamb1|Cav1|Col4a1|Itgb1|Ramp2
29,Process,GO:0010959,NA,Regulation of metal ion transport,0.0011,6.78e-06,20,462,10090,Cav1|Rhoa|Cyba|Ywhah|Calm3|Ryr2|Gnb2|Trf|Fkbp1a|Calm2|Gnai2|Dysf|Itgb1|Pawr|Stk39|Cabp1|Flna|Orai1|Hecw2|Calm1
29,Process,GO:0098901,NA,Regulation of cardiac muscle cell action potential,0.0011,6.86e-06,6,30,10090,Jup|Cav1|Calm3|Ryr2|Calm2|Calm1
29,Process,GO:0009611,NA,Response to wounding,0.0012,7.48e-06,19,425,10090,Fkbp10|Rhoc|Cav1|Rhoa|Cd34|Papss2|Anxa5|Mcam|Tlr4|Dysf|Gpx1|Klk8|Macf1|Thbd|Myh10|Flna|Timp1|Ppia|Apod
29,KEGG,mmu05222,NA,Small cell lung cancer,0.0012,5.3e-05,8,92,10090,Lamb1|Gadd45b|Lama4|Lamc1|Col4a1|Col4a2|Itgb1|Ccnd1
29,Process,GO:1903034,NA,Regulation of response to wounding,0.0013,8.19e-06,12,177,10090,Cav1|Cd34|Anxa1|Anxa5|Anxa2|Actg1|Klk8|Arfgef1|Itgb1|Cd109|Thbd|Flna
29,Process,GO:0010811,NA,Positive regulation of cell-substrate adhesion,0.0013,8.69e-06,11,148,10090,Jup|Nid1|Dock5|S100a10|Cdc42|Itgb1|Arpc2|Flna|Cdh13|Myadm|Cfl1
29,Process,GO:1901842,NA,Negative regulation of high voltage-gated calcium channel activity,0.0014,8.99e-06,4,7,10090,Calm3|Calm2|Dysf|Calm1
29,Process,GO:0098900,NA,Regulation of action potential,0.0016,1.04e-05,8,72,10090,Jup|Cav1|Calm3|Ryr2|Calm2|Pawr|Flna|Calm1
29,Process,GO:0072659,NA,Protein localization to plasma membrane,0.0016,1.05e-05,13,214,10090,Jup|Slc9a3r2|Cdh2|Anxa2|S100a10|Cd81|Tmem88|Macf1|Ehd2|Flna|Ramp2|Myl12a|Rab11a
29,KEGG,mmu05020,NA,Prion disease,0.0017,8.05e-05,13,263,10090,Cav2|Tubb5|Cav1|Hspa8|Cyba|Ryr2|Lamc1|Sem1|Psmd8|Tubb2a|Tubb2b|Atp5g1|Tuba1a
29,Process,GO:0055117,NA,Regulation of cardiac muscle contraction,0.0018,1.25e-05,8,74,10090,Jup|Cav1|Calm3|Ryr2|Calm2|Hsp90aa1|Rgs2|Calm1
29,Process,GO:0072657,NA,Protein localization to membrane,0.0019,1.38e-05,20,486,10090,Jup|Slc9a3r2|Calm3|Cdh2|Anxa2|S100a10|Cd81|Cpe|Calm2|Tmem88|Hsp90aa1|Macf1|Ehd2|Flna|Ramp2|Myl12a|Rab11a|Sec61g|Myadm|Calm1
29,Process,GO:0014910,NA,Regulation of smooth muscle cell migration,0.002,1.4e-05,9,100,10090,Cav1|Rhoa|S100a11|Dock5|Tlr4|Sema6d|Tmsb4x|Arpc2|Mef2c
29,KEGG,mmu05412,NA,Arrhythmogenic right ventricular cardiomyopathy,0.0022,0.00011,7,76,10090,Jup|Ryr2|Cdh2|Lmna|Actg1|Itgb1|Actb
29,Process,GO:1901888,NA,Regulation of cell junction assembly,0.0024,1.74e-05,13,225,10090,Cav1|S100a10|Abi3|Actg1|Mmp14|Rapgef1|Macf1|Dusp3|Apod|Ptprd|Mef2c|Cfl1|Mdga2
29,Process,GO:0010770,NA,Positive regulation of cell morphogenesis involved in differentiation,0.0024,1.75e-05,9,103,10090,Dock5|S100a10|Cdc42|Marcks|Lrp8|Arpc2|Flna|Ptprd|Myadm
29,Process,GO:0071709,NA,Membrane assembly,0.0025,1.86e-05,7,56,10090,Cav2|Cav1|Ubxn2a|Cdh2|Anxa2|S100a10|Ptprd
29,Process,GO:0099563,NA,Modification of synaptic structure,0.0026,1.99e-05,5,21,10090,Pfn1|Cdc42|Myh10|Cabp1|Cfl1
29,Process,GO:0050808,NA,Synapse organization,0.0027,2.04e-05,16,338,10090,Hspa8|Pfn1|Cdh2|Sparcl1|Col4a1|Cdc42|Actg1|Ctnnd2|Klk8|Actb|Myh10|Cabp1|Flna|Ptprd|Unc13c|Cfl1
29,Process,GO:0022898,NA,Regulation of transmembrane transporter activity,0.0027,2.1e-05,15,301,10090,Cav1|Ywhah|Calm3|Ryr2|Fkbp1a|Calm2|Dysf|Itgb1|Actb|Stk39|Cabp1|Hecw2|Mef2c|Cfl1|Calm1
29,Process,GO:1904062,NA,Regulation of cation transmembrane transport,0.0028,2.23e-05,18,420,10090,Cav1|Cyba|Ywhah|Calm3|Ryr2|Gnb2|Fkbp1a|Calm2|Dysf|Itgb1|Stk39|Cabp1|Flna|Hecw2|Rgs2|Mef2c|Cfl1|Calm1
29,Process,GO:1990778,NA,Protein localization to cell periphery,0.0028,2.24e-05,14,266,10090,Jup|Slc9a3r2|Cdh2|Anxa2|S100a10|Cd81|Tmem88|Macf1|Ehd2|Flna|Ramp2|Myl12a|Rab11a|Myadm
29,Process,GO:0061041,NA,Regulation of wound healing,0.003,2.43e-05,10,136,10090,Cav1|Cd34|Anxa1|Anxa5|Anxa2|Actg1|Arfgef1|Itgb1|Cd109|Thbd
29,Process,GO:0001765,NA,Membrane raft assembly,0.0031,2.64e-05,4,10,10090,Cav2|Cav1|Anxa2|S100a10
29,Process,GO:0098885,NA,Modification of postsynaptic actin cytoskeleton,0.0031,2.64e-05,4,10,10090,Pfn1|Myh10|Cabp1|Cfl1
29,Process,GO:1904063,NA,Negative regulation of cation transmembrane transport,0.0031,2.66e-05,9,109,10090,Cav1|Calm3|Calm2|Dysf|Stk39|Cabp1|Hecw2|Rgs2|Calm1
29,Process,GO:0006937,NA,Regulation of muscle contraction,0.0032,2.78e-05,11,169,10090,Jup|Cav1|Rhoa|Calm3|Ryr2|Dock5|Calm2|Hsp90aa1|Pawr|Rgs2|Calm1
29,Process,GO:0031579,NA,Membrane raft organization,0.0033,2.91e-05,5,23,10090,Cav2|Cav1|Anxa2|S100a10|Myadm
29,Process,GO:2001044,NA,Regulation of integrin-mediated signaling pathway,0.0033,2.91e-05,5,23,10090,Lamb1|Nid1|Lamc1|Flna|Timp1
29,Process,GO:0032413,NA,Negative regulation of ion transmembrane transporter activity,0.0035,3.14e-05,8,85,10090,Cav1|Calm3|Calm2|Dysf|Stk39|Cabp1|Hecw2|Calm1
29,Process,GO:0042692,NA,Muscle cell differentiation,0.0037,3.35e-05,15,314,10090,Cav2|Cdh2|Lmna|Uchl1|Dock5|Cd81|Actg1|Dysf|Gpx1|Itgb1|Myh10|Ptgfrn|Ramp2|H3f3a|Mef2c
29,Process,GO:1901386,NA,Negative regulation of voltage-gated calcium channel activity,0.0038,3.48e-05,5,24,10090,Calm3|Calm2|Dysf|Cabp1|Calm1
29,Process,GO:0005513,NA,Detection of calcium ion,0.0038,3.57e-05,4,11,10090,Calm3|Ryr2|Calm2|Calm1
29,KEGG,mmu04666,NA,Fc gamma R-mediated phagocytosis,0.0039,0.00021,7,85,10090,Cdc42|Arpc5|Arpc1b|Marcks|Arpc3|Arpc2|Cfl1
29,KEGG,mmu04512,NA,ECM-receptor interaction,0.004,0.00023,7,86,10090,Lamb1|Lama4|Lamc1|Col4a1|Col4a2|Itgb1|Hspg2
29,KEGG,mmu05410,NA,Hypertrophic cardiomyopathy,0.0043,0.00026,7,88,10090,Tpm4|Ryr2|Lmna|Actg1|Itgb1|Actb|Tpm3
29,Process,GO:1900026,NA,Positive regulation of substrate adhesion-dependent cell spreading,0.0045,4.27e-05,6,43,10090,Dock5|S100a10|Cdc42|Arpc2|Flna|Myadm
29,Process,GO:0051893,NA,Regulation of focal adhesion assembly,0.0047,4.49e-05,7,65,10090,S100a10|Actg1|Mmp14|Macf1|Dusp3|Apod|Cfl1
29,KEGG,mmu04611,NA,Platelet activation,0.0047,0.0003,8,120,10090,Rhoa|Myl12b|Gnai2|Actg1|Itgb1|Actb|Orai1|Myl12a
29,KEGG,mmu05414,NA,Dilated cardiomyopathy,0.0047,0.0003,7,90,10090,Tpm4|Ryr2|Lmna|Actg1|Itgb1|Actb|Tpm3
29,KEGG,mmu04713,NA,Circadian entrainment,0.0051,0.00036,7,93,10090,Calm3|Ryr2|Gria4|Gng11|Gnb2|Gngt2|Gnai2
29,Process,GO:0032412,NA,Regulation of ion transmembrane transporter activity,0.0057,5.68e-05,14,291,10090,Cav1|Ywhah|Calm3|Ryr2|Fkbp1a|Calm2|Dysf|Itgb1|Stk39|Cabp1|Hecw2|Mef2c|Cfl1|Calm1
29,Process,GO:0034763,NA,Negative regulation of transmembrane transport,0.0059,5.91e-05,10,152,10090,Cav1|Pea15a|Calm3|Calm2|Dysf|Stk39|Cabp1|Hecw2|Rgs2|Calm1
29,Process,GO:0099159,NA,Regulation of modification of postsynaptic structure,0.006,6.09e-05,4,13,10090,Rhoa|Cdc42|Marcks|Myh10
29,Process,GO:0051346,NA,Negative regulation of hydrolase activity,0.0061,6.27e-05,17,414,10090,Serpinb9b|Anxa1|Cst3|Anxa2|Rarres1|Gnai2|Lxn|Cast|Gpx1|Arfgef1|Cd109|Col7a1|Timp1|Gapdh|Rgs2|Tnfaip8|Serpinh1
29,Process,GO:0035304,NA,Regulation of protein dephosphorylation,0.0067,7.02e-05,8,96,10090,Ywhab|Calm3|Calm2|Gnai2|Ppp1r2|Pawr|Ppia|Calm1
29,Process,GO:0051385,NA,Response to mineralocorticoid,0.007,7.46e-05,6,48,10090,Cyba|Calm3|Calm2|Ccnd1|Stk39|Calm1
29,Process,GO:1905913,NA,Negative regulation of calcium ion export across plasma membrane,0.007,7.57e-05,3,4,10090,Calm3|Calm2|Calm1
29,Process,GO:0007163,NA,Establishment or maintenance of cell polarity,0.0073,7.94e-05,12,226,10090,Rhoc|Rhoa|Lmna|Cdc42|Arpc5|Tcf15|Itgb1|Hsp90aa1|Macf1|Actb|Msn|Cfl1
29,Process,GO:0045216,NA,Cell-cell junction organization,0.0073,7.94e-05,11,191,10090,Jup|Rhoc|Rhoa|Cdh2|Cdc42|Actg1|Ctnnd2|Itgb1|Actb|Flna|Ramp2
29,Process,GO:0090257,NA,Regulation of muscle system process,0.0073,8.05e-05,13,263,10090,Jup|Cav1|Rhoa|Calm3|Ryr2|Lmna|Dock5|Calm2|Hsp90aa1|Pawr|Rgs2|Mef2c|Calm1
29,Process,GO:1902905,NA,Positive regulation of supramolecular fiber organization,0.0075,8.3e-05,11,192,10090,Rhoc|Cav1|Rhoa|Pfn1|S100a10|Cdc42|Dstn|Arpc2|Flna|C530008M17Rik|Cfl1
29,KEGG,mmu04371,NA,Apelin signaling pathway,0.0079,0.00057,8,133,10090,Calm3|Ryr2|Gng11|Gnb2|Gngt2|Gnai2|Ccnd1|Mef2c
29,KEGG,mmu05133,NA,Pertussis,0.0081,0.00061,6,73,10090,Rhoa|Calm3|Tlr4|Gnai2|Itgb1|Cfl1
29,Process,GO:0001667,NA,Ameboidal-type cell migration,0.0083,9.3e-05,12,230,10090,Rhoa|Loxl2|Cdh2|Pkn3|Cdc42|Gpx1|Itgb1|Sema6d|Kitl|Cdh13|Ptp4a3|Cfl1
29,Process,GO:0034314,NA,Arp2/3 complex-mediated actin nucleation,0.0086,9.71e-05,4,15,10090,Arpc5|Arpc1b|Arpc3|Arpc2
29,Process,GO:0044794,NA,Positive regulation by host of viral process,0.0086,9.71e-05,4,15,10090,Cav2|Hspa8|Ppib|Cfl1
29,Process,GO:2001046,NA,Positive regulation of integrin-mediated signaling pathway,0.0086,9.71e-05,4,15,10090,Lamb1|Nid1|Lamc1|Flna
29,KEGG,mmu05145,NA,Toxoplasmosis,0.0095,0.00074,7,106,10090,Lamb1|Hspa8|Lama4|Lamc1|Tlr4|Gnai2|Itgb1
29,Process,GO:0007043,NA,Cell-cell junction assembly,0.0096,0.00011,9,133,10090,Jup|Rhoc|Rhoa|Cdh2|Actg1|Ctnnd2|Itgb1|Actb|Ramp2
29,Process,GO:0008360,NA,Regulation of cell shape,0.0096,0.00011,10,165,10090,Rhoc|Rhoa|Bambi|Anxa1|Myl12b|Arhgdia|Myh10|Msn|Myl12a|Cfl1
29,Process,GO:0051343,NA,Positive regulation of cyclic-nucleotide phosphodiesterase activity,0.0101,0.00012,3,5,10090,Calm3|Calm2|Calm1
29,Process,GO:0051926,NA,Negative regulation of calcium ion transport,0.0101,0.00012,7,77,10090,Cav1|Calm3|Calm2|Dysf|Pawr|Cabp1|Calm1
29,Process,GO:1902176,NA,Negative regulation of oxidative stress-induced intrinsic apoptotic signaling pathway,0.0101,0.00012,4,16,10090,Hspb1|Nme5|Gpx1|Ppia
29,Process,GO:2001258,NA,Negative regulation of cation channel activity,0.0101,0.00012,6,53,10090,Cav1|Calm3|Calm2|Dysf|Cabp1|Calm1
29,KEGG,mmu05016,NA,Huntington disease,0.0105,0.00086,12,297,10090,Tubb5|Gria4|Sem1|Psmd8|Cltb|Tubb2a|Dnah10|Tubb2b|Gpx1|Gpx3|Atp5g1|Tuba1a
29,Process,GO:0001952,NA,Regulation of cell-matrix adhesion,0.0113,0.00014,9,137,10090,Jup|S100a10|Actg1|Mmp14|Macf1|Dusp3|Cdh13|Apod|Cfl1
29,Process,GO:0035303,NA,Regulation of dephosphorylation,0.0113,0.00014,9,137,10090,Ywhab|Calm3|Calm2|Gnai2|Ppp1r2|Pawr|Ppia|Mef2c|Calm1
29,Process,GO:0051284,NA,Positive regulation of sequestering of calcium ion,0.0118,0.00015,4,17,10090,Calm3|Ryr2|Calm2|Calm1
29,Process,GO:0051149,NA,Positive regulation of muscle cell differentiation,0.0119,0.00015,7,80,10090,Lamb1|Nid1|Lamc1|Morf4l2|Mmp14|Tmsb4x|Mef2c
29,Process,GO:0060348,NA,Bone development,0.0124,0.00016,12,244,10090,Rhoa|Sparc|Papss2|Bgn|Anxa2|Ppib|Snx10|Mmp14|Flna|Serpinh1|Hspg2|Mef2c
29,Process,GO:1903201,NA,Regulation of oxidative stress-induced cell death,0.0126,0.00016,7,81,10090,Hspb1|Hspa8|Tlr4|Nme5|Gpx1|Pawr|Ppia
29,Process,GO:0044788,NA,Modulation by host of viral process,0.0131,0.00017,5,35,10090,Cav2|Hspa8|Ppib|Cdc42|Cfl1
29,Process,GO:0001738,NA,Morphogenesis of a polarized epithelium,0.0135,0.00018,6,57,10090,Rhoa|Cdc42|Actg1|Tcf15|Actb|Msn
29,Process,GO:1903170,NA,Negative regulation of calcium ion transmembrane transport,0.0135,0.00018,6,57,10090,Cav1|Calm3|Calm2|Dysf|Cabp1|Calm1
29,Process,GO:0043666,NA,Regulation of phosphoprotein phosphatase activity,0.0145,0.00019,6,58,10090,Calm3|Calm2|Gnai2|Ppp1r2|Pawr|Calm1
29,Process,GO:0006457,NA,Protein folding,0.015,0.0002,10,178,10090,Fkbp10|Hspb1|Hspa8|Ppic|Pdia3|Ppib|Fkbp1a|Selenof|Hsp90aa1|Ppia
29,Process,GO:0060537,NA,Muscle tissue development,0.0154,0.00021,15,373,10090,Cav2|Cav1|Rhoa|Hspa8|Ryr2|Lmna|Fkbp1a|Cdc42|Gpx1|Itgb1|Myh10|Sgcz|Myl6|Hspg2|Mef2c
29,Process,GO:0014902,NA,Myotube differentiation,0.0155,0.00021,7,85,10090,Cav2|Dock5|Cd81|Gpx1|Itgb1|Ptgfrn|Mef2c
29,Process,GO:0045198,NA,Establishment of epithelial cell apical/basal polarity,0.0155,0.00021,4,19,10090,Rhoa|Cdc42|Tcf15|Msn
29,Process,GO:0001935,NA,Endothelial cell proliferation,0.0156,0.00022,5,37,10090,Cav2|Cav1|Cd34|Loxl2|Mmp14
29,Process,GO:0010922,NA,Positive regulation of phosphatase activity,0.0156,0.00022,5,37,10090,Calm3|Calm2|Pawr|Mef2c|Calm1
29,Process,GO:0051495,NA,Positive regulation of cytoskeleton organization,0.0164,0.00023,11,217,10090,Rhoc|Cav1|Rhoa|Pfn1|S100a10|Cdc42|Dstn|Arpc2|Flna|C530008M17Rik|Cfl1
29,Process,GO:0032231,NA,Regulation of actin filament bundle assembly,0.0169,0.00024,8,116,10090,Rhoc|Rhoa|Pfn1|S100a10|Cdc42|Actg1|Flna|Cfl1
29,Process,GO:0050863,NA,Regulation of T cell activation,0.0169,0.00024,15,378,10090,Hspb1|Cav1|Rhoa|Ctla2a|Tnfrsf21|Anxa1|Zap70|Cd55|Il2rg|Cd81|Hsp90aa1|Pawr|Actb|Kitl|Dusp3
29,Process,GO:0060314,NA,Regulation of ryanodine-sensitive calcium-release channel activity,0.0176,0.00025,4,20,10090,Calm3|Fkbp1a|Calm2|Calm1
29,Process,GO:1905874,NA,Regulation of postsynaptic density organization,0.0176,0.00025,4,20,10090,Cdh2|Abi3|Ptprd|Cfl1
